method,run,route_id,allocation
Random search,8,SYN-027,1
Random search,8,SYN-034,1
Random search,8,SYN-035,0
Random search,8,SYN-037,1
Random search,8,SYN-044,2
Random search,8,SYN-050,4
Elite-preserving stochastic search,9,SYN-009,0
Elite-preserving stochastic search,9,SYN-014,0
Elite-preserving stochastic search,9,SYN-027,1
Elite-preserving stochastic search,9,SYN-034,1
Elite-preserving stochastic search,9,SYN-035,0
Elite-preserving stochastic search,9,SYN-037,0
Elite-preserving stochastic search,9,SYN-044,3
Elite-preserving stochastic search,9,SYN-050,5
Random search,9,SYN-009,0
Random search,9,SYN-014,0
Random search,9,SYN-027,1
Random search,9,SYN-034,1
Random search,9,SYN-035,0
Random search,9,SYN-037,0
Random search,9,SYN-044,3
Random search,9,SYN-050,5
Elite-preserving stochastic search,10,SYN-009,0
Elite-preserving stochastic search,10,SYN-014,0
Elite-preserving stochastic search,10,SYN-027,2
Elite-preserving stochastic search,10,SYN-034,1
Elite-preserving stochastic search,10,SYN-035,0
Elite-preserving stochastic search,10,SYN-037,0
Elite-preserving stochastic search,10,SYN-044,2
Elite-preserving stochastic search,10,SYN-050,5
Random search,10,SYN-009,0
Random search,10,SYN-014,1
Random search,10,SYN-027,1
Random search,10,SYN-034,1
Random search,10,SYN-035,0
Random search,10,SYN-037,0
Random search,10,SYN-044,3
Random search,10,SYN-050,4
Elite-preserving stochastic search,11,SYN-009,0
Elite-preserving stochastic search,11,SYN-014,0
Elite-preserving stochastic search,11,SYN-027,2
Elite-preserving stochastic search,11,SYN-034,1
Elite-preserving stochastic search,11,SYN-035,0
Elite-preserving stochastic search,11,SYN-037,1
Elite-preserving stochastic search,11,SYN-044,2
Elite-preserving stochastic search,11,SYN-050,4
Random search,11,SYN-009,0
Random search,11,SYN-014,0
Random search,11,SYN-027,2
Random search,11,SYN-034,1
Random search,11,SYN-035,0
Random search,11,SYN-037,1
Random search,11,SYN-044,2
Random search,11,SYN-050,4
Elite-preserving stochastic search,12,SYN-009,0
Elite-preserving stochastic search,12,SYN-014,1
Elite-preserving stochastic search,12,SYN-027,1
Elite-preserving stochastic search,12,SYN-034,1
Elite-preserving stochastic search,12,SYN-035,0
