model,folds,precision_mean,precision_std,recall_mean,recall_std,f1_critical_mean,f1_critical_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std
Decision tree,5,0.6,0.5477225575051661,0.4,0.4183300132670378,0.4666666666666666,0.4472135954999579,0.7051943584451325,0.2387425164241295,0.7,0.2091650066335189
Logistic regression,5,0.6,0.5477225575051661,0.5,0.5,0.5333333333333333,0.5055250296034367,0.7444100447196422,0.2727021775703269,0.75,0.25
Random forest,5,0.4,0.5477225575051662,0.3,0.447213595499958,0.3333333333333333,0.4714045207910317,0.6332989336085311,0.2551424365197353,0.65,0.2236067977499789
SVM (linear),5,0.6,0.5477225575051661,0.5,0.5,0.5333333333333333,0.5055250296034367,0.7444100447196422,0.2727021775703269,0.75,0.25
