method,runs,objective_mean,objective_std,reduction_percent_mean,reduction_percent_std,evaluations_mean,runtime_seconds_mean,all_feasible
Elite-preserving stochastic search,30,31.45205955126036,0.4021679330643411,66.82306739770378,0.4242233609005651,1000.0,0.0102157815666638,True
Greedy marginal allocation,1,30.84864384869273,,67.45957522519996,,80.0,8.748000027480884e-06,True
Random search,30,31.393178358459696,0.364746874852436,66.88517771394258,0.384750081760305,1000.0,0.0103229948333061,True
Uniform allocation,1,38.181779915248114,,59.72428015979855,,1.0,7.440999979735352e-06,True
Vulnerability-proportional allocation,1,32.621691329762456,,65.58929144666871,,1.0,1.137399999606714e-05,True
